sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
ACDEKL/,GKL/IJ,1,False,True,False,False,True,True,True,True
CDEK/AL,K/GHL,1,True,True,True,True,True,False,True,True
CDEK/AL,K/FGHIJL,1,True,True,True,True,True,False,True,True
ADEL/CK,I/K,1,True,False,True,True,True,True,True,False
ADEL/CK,J/IK,1,True,True,True,True,True,True,True,False
A/CDEKL,FHJ/GKL,3,True,True,True,True,True,True,False,False
ADEL/CK,FIJ/K,1,True,False,True,True,True,True,True,False
CK/ADEL,H/GL,1,True,True,True,True,True,True,True,False
ADEL/CK,GL/IJK,1,True,True,True,True,True,True,True,True
CDEKL/A,GKL/H,1,True,True,False,False,True,True,True,True
AL/CDEK,FHJ/IK,1,True,True,True,True,True,True,True,False
CDEK/AL,J/FGHL,1,True,True,True,True,True,True,True,False
AL/CDEK,GL/K,1,True,False,True,True,True,True,True,True
AL/CDEK,FJ/IK,1,True,True,True,True,True,True,True,False
CDEKL/A,GHKL/FIJ,1,True,True,False,False,True,True,True,True
CDEKL/A,GIKL/H,1,True,True,False,False,True,True,True,True
